@    title "Electric Field Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z                   Direction
@type xy
3500      -1.389204254150e+02           -1.228106689453e+02           -6.461478424072e+01           -6.430714607239e+00           -1.0
3600      -1.345472869873e+02           -1.177888641357e+02           -6.502495574951e+01           -7.155066132545e-01           -1.0
3700      -1.172370834351e+02           -9.666291046143e+01           -6.417069244385e+01           1.682076644897e+01            -1.0
3800      -1.461564178467e+02           -9.621345520020e+01           -1.059803543091e+02           2.954375648499e+01            -1.0
3900      -1.403401031494e+02           -1.099584350586e+02           -8.652994537354e+01           1.081927585602e+01            -1.0
4000      -1.025102615356e+02           -8.564224243164e+01           -5.633529663086e+01           3.061230182648e-01            -1.0
4100      -1.097070388794e+02           -9.480363464355e+01           -5.278841018677e+01           -1.616439819336e+01           -1.0
4200      -1.237546844482e+02           -9.936013793945e+01           -7.369392395020e+01           -3.462889194489e+00           -1.0
4300      -1.111944503784e+02           -9.933304595947e+01           -4.988446426392e+01           2.948245286942e+00            -1.0
4400      -1.238430480957e+02           -1.088547973633e+02           -5.832098007202e+01           9.294958114624e+00            -1.0
4500      -1.395595397949e+02           -1.118489685059e+02           -8.345444488525e+01           1.425061225891e+00            -1.0
4600      -1.173486404419e+02           -9.347499084473e+01           -6.822648620605e+01           1.944929695129e+01            -1.0
4700      -1.440108489990e+02           -1.218662948608e+02           -6.920712280273e+01           3.313763809204e+01            -1.0
4800      -1.689321899414e+02           -1.428173370361e+02           -8.742053222656e+01           2.233704185486e+01            -1.0
4900      -1.438668975830e+02           -1.359157409668e+02           -4.666151809692e+01           -6.877545833588e+00           -1.0
5000      -1.323301239014e+02           -1.150526657104e+02           -6.421611785889e+01           1.226513671875e+01            -1.0
5100      -1.305051116943e+02           -1.112277450562e+02           -6.481466674805e+01           2.142502593994e+01            -1.0
5200      -1.315079650879e+02           -1.162486572266e+02           -6.125216674805e+01           5.363276004791e+00            -1.0
5300      -1.159170913696e+02           -1.011744079590e+02           -5.593763351440e+01           -8.455341339111e+00           -1.0
5400      -1.421522216797e+02           -1.337829132080e+02           -4.548107147217e+01           -1.551971054077e+01           -1.0
5500      -1.178256607056e+02           -1.041216049194e+02           -5.428771591187e+01           -9.717062950134e+00           -1.0
5600      -1.255323638916e+02           -1.074886322021e+02           -6.461358642578e+01           5.445469379425e+00            -1.0
5700      -1.444625091553e+02           -1.238039627075e+02           -7.162425994873e+01           -2.029681205750e+01           -1.0
5800      -1.134714965820e+02           -1.033457946777e+02           -4.471882247925e+01           -1.398761272430e+01           -1.0
5900      -1.214022140503e+02           -1.134700775146e+02           -4.280920410156e+01           -5.514756202698e+00           -1.0
6000      -1.282206878662e+02           -1.169463729858e+02           -5.255181503296e+01           -1.548171877861e+00           -1.0
6100      -1.333297729492e+02           -1.164330825806e+02           -6.496221160889e+01           2.767072319984e-01            -1.0
6200      -1.233445053101e+02           -1.029103088379e+02           -6.573492431641e+01           1.738549995422e+01            -1.0
6300      -1.574796752930e+02           -1.061553344727e+02           -1.048323135376e+02           5.040910339355e+01            -1.0
6400      -1.233596878052e+02           -1.085247955322e+02           -5.751951980591e+01           1.146679973602e+01            -1.0
6500      -1.122564697266e+02           -9.725927734375e+01           -5.530948257446e+01           9.110927581787e+00            -1.0
6600      -1.224096984863e+02           -9.102422332764e+01           -7.925784301758e+01           2.041861343384e+01            -1.0
6700      -1.310675659180e+02           -1.266235351562e+02           -2.846409416199e+01           -1.830254554749e+01           -1.0
6800      -1.322272491455e+02           -1.150412521362e+02           -6.517321777344e+01           1.417193293571e+00            -1.0
6900      -1.001457748413e+02           -9.109763336182e+01           -4.153435134888e+01           -2.301226615906e+00           -1.0
7000      -1.590758056641e+02           -1.320480651855e+02           -8.822931671143e+01           9.165703773499e+00            -1.0
7100      -1.191615447998e+02           -1.169373397827e+02           -2.144956398010e+01           8.065208435059e+00            -1.0
7200      -1.214778289795e+02           -1.198580169678e+02           -1.872596549988e+01           -6.344841003418e+00           -1.0
7300      -1.462180328369e+02           -1.256465072632e+02           -7.178879547119e+01           2.095314216614e+01            -1.0
7400      -1.109438476562e+02           -1.047098388672e+02           -3.299517822266e+01           -1.599079418182e+01           -1.0
7500      -1.304732360840e+02           -1.114085235596e+02           -6.677388000488e+01           1.235538578033e+01            -1.0
7600      -1.459131622314e+02           -1.318036499023e+02           -6.193764114380e+01           9.065326690674e+00            -1.0
7700      -1.200837554932e+02           -1.091594161987e+02           -4.939408874512e+01           -8.034449577332e+00           -1.0
7800      -1.253112640381e+02           -1.231008300781e+02           -2.213012504578e+01           -7.704320907593e+00           -1.0
7900      -1.057489242554e+02           -9.573146057129e+01           -4.386439895630e+01           9.707593917847e+00            -1.0
8000      -1.238782653809e+02           -1.071604232788e+02           -6.150422668457e+01           8.927376747131e+00            -1.0
8100      -1.357995910645e+02           -1.324358062744e+02           -2.838407707214e+01           -9.830139160156e+00           -1.0
8200      -1.095175781250e+02           -9.259301757812e+01           -5.577561950684e+01           1.759866523743e+01            -1.0
8300      -8.453565216064e+01           -7.373126983643e+01           -4.131503677368e+01           1.744879603386e+00            -1.0
8400      -1.103637695312e+02           -7.930805206299e+01           -7.487754058838e+01           -1.684484100342e+01           -1.0
8500      -1.146514892578e+02           -8.180416107178e+01           -8.023421478271e+01           -3.938701868057e+00           -1.0
8600      -1.194011154175e+02           -1.092707824707e+02           -4.265425491333e+01           -2.229657745361e+01           -1.0
8700      -1.374161834717e+02           -1.290776672363e+02           -4.495747375488e+01           1.417706203461e+01            -1.0
8800      -1.277068710327e+02           -1.088529281616e+02           -6.532147216797e+01           1.389927005768e+01            -1.0
8900      -1.198857040405e+02           -1.048311843872e+02           -5.802803421021e+01           3.968854427338e+00            -1.0
9000      -1.213618392944e+02           -1.123267898560e+02           -4.536958694458e+01           7.279390811920e+00            -1.0
9100      -1.063236999512e+02           -7.792835235596e+01           -7.122216033936e+01           1.262161731720e+01            -1.0
9200      -1.174892425537e+02           -1.071458435059e+02           -4.596521377563e+01           1.451513957977e+01            -1.0
9300      -1.054080963135e+02           -8.068199920654e+01           -6.747492980957e+01           -6.958087921143e+00           -1.0
9400      -1.138249740601e+02           -1.090036926270e+02           -2.881883430481e+01           1.561393070221e+01            -1.0
9500      -1.502273712158e+02           -1.080373229980e+02           -9.890275573730e+01           3.338329315186e+01            -1.0
9600      -1.190067367554e+02           -1.080717315674e+02           -4.696160125732e+01           1.666471481323e+01            -1.0
9700      -1.099112701416e+02           -1.054236679077e+02           -2.893892097473e+01           1.135239028931e+01            -1.0
9800      -1.242359390259e+02           -1.118208541870e+02           -5.284680557251e+01           1.174225425720e+01            -1.0
9900      -1.278416213989e+02           -1.151333007812e+02           -5.300397109985e+01           1.668476486206e+01            -1.0
10000     -1.064277496338e+02           -9.281175231934e+01           -4.665637969971e+01           2.315222740173e+01            -1.0
